1	winter
2	winter
3	winter
4	winter
5	winter
6	winter
7	winter
8	winter
9	winter
10	winter
11	winter
12	winter
13	winter
14	winter
15	winter
16	winter
17	winter
18	winter
19	winter
72	spring
71	spring
70	spring
69	spring
68	spring
67	spring
66	spring
65	spring
60	spring
64	spring
63	spring
62	spring
61	spring
158	summer
154	summer
166	summer
164	summer
155	summer
159	summer
162	summer
168	summer
156	summer
299	fall
304	fall
305	fall
306	fall
307	fall
246	fall
249	fall
258	fall
247	fall
253	fall
20	winter
21	winter
22	winter
23	winter
24	winter
25	winter
26	winter
27	winter
28	winter
238	summer
242	summer
195	summer
215	summer
197	summer
213	summer
212	summer
210	summer
208	summer
206	summer
252	fall
245	fall
250	fall
255	fall
248	fall
257	fall
259	fall
251	fall
254	fall
256	fall
260	fall
261	fall
262	fall
263	fall
264	fall
265	fall
266	fall
267	fall
268	fall
269	fall
270	fall
271	fall
272	fall
273	fall
274	fall
275	fall
276	fall
277	fall
278	fall
280	fall
283	fall
285	fall
287	fall
59	winter
329	fall
29	winter
30	winter
31	winter
32	winter
33	winter
34	winter
35	winter
36	winter
37	winter
38	winter
39	winter
40	winter
41	winter
42	winter
43	winter
44	winter
45	winter
46	winter
47	winter
48	winter
49	winter
50	winter
51	winter
52	winter
53	winter
336	winter
337	winter
338	winter
339	winter
340	winter
341	winter
342	winter
343	winter
344	winter
345	winter
346	winter
347	winter
348	winter
349	winter
350	winter
351	winter
352	winter
353	winter
354	winter
355	winter
356	winter
357	winter
358	winter
359	winter
360	winter
361	winter
362	winter
363	winter
364	winter
365	winter
366	winter
226	summer
224	summer
222	summer
221	summer
219	summer
217	summer
204	summer
203	summer
201	summer
178	summer
180	summer
184	summer
188	summer
199	summer
225	summer
279	fall
281	fall
282	fall
284	fall
286	fall
288	fall
289	fall
291	fall
293	fall
294	fall
296	fall
298	fall
300	fall
58	winter
57	winter
56	winter
55	winter
54	winter
149	spring
150	spring
151	spring
73	spring
74	spring
75	spring
76	spring
77	spring
81	spring
86	spring
87	spring
88	spring
90	spring
91	spring
92	spring
78	spring
79	spring
80	spring
82	spring
83	spring
84	spring
85	spring
89	spring
93	spring
94	spring
95	spring
96	spring
97	spring
98	spring
99	spring
100	spring
101	spring
102	spring
103	spring
106	spring
107	spring
108	spring
109	spring
110	spring
111	spring
112	spring
113	spring
114	spring
115	spring
116	spring
117	spring
118	spring
119	spring
120	spring
121	spring
122	spring
123	spring
124	spring
125	spring
126	spring
127	spring
128	spring
129	spring
130	spring
131	spring
132	spring
133	spring
134	spring
135	spring
136	spring
137	spring
138	spring
139	spring
140	spring
141	spring
142	spring
143	spring
144	spring
301	fall
145	spring
146	spring
147	spring
148	spring
104	spring
105	spring
173	summer
160	summer
167	summer
157	summer
153	summer
165	summer
170	summer
163	summer
223	summer
172	summer
169	summer
174	summer
220	summer
171	summer
175	summer
176	summer
177	summer
179	summer
181	summer
182	summer
183	summer
185	summer
186	summer
187	summer
189	summer
190	summer
191	summer
192	summer
193	summer
194	summer
196	summer
198	summer
200	summer
202	summer
205	summer
207	summer
209	summer
161	summer
214	summer
216	summer
218	summer
211	summer
234	summer
229	summer
243	summer
239	summer
230	summer
235	summer
231	summer
236	summer
240	summer
232	summer
237	summer
233	summer
241	summer
228	summer
227	summer
290	fall
292	fall
295	fall
297	fall
326	fall
316	fall
317	fall
327	fall
328	fall
330	fall
331	fall
332	fall
333	fall
334	fall
335	fall
302	fall
303	fall
318	fall
319	fall
320	fall
308	fall
321	fall
322	fall
309	fall
323	fall
310	fall
311	fall
324	fall
312	fall
325	fall
313	fall
314	fall
315	fall
152	summer
244	fall
